Incident Date,Incident Exact Time,Incident Time,Incident Year,Incident Day of Week,Incident Category,nhood,Latitude,Longitude,point,,,incident time number
08/01/2018,6:04:00 PM,18,2018,Monday,Assault,Mission,37.75863,-122.41905,"(37.75863256660654, -122.41905260777229)",,,0.75
01/01/2018,2:00:00 AM,2,2018,Monday,Burglary,Pacific Heights,37.79511,-122.42834,"(37.795105609875066, -122.42834448479346)",,,0.08
08/01/2018,3:00:00 PM,15,2018,Monday,Assault,South of Market,37.77376,-122.40852,"(37.77375969975922, -122.40851633190513)",,,0.63
07/01/2018,3:22:00 AM,3,2018,Sunday,Burglary,Nob Hill,37.78755,-122.42176,"(37.78754813874876, -122.42175810558996)",,,0.14
07/01/2018,12:00:00 AM,0,2018,Sunday,Burglary,Sunset/Parkside,37.76436,-122.5019,"(37.76436077180021, -122.5019007272568)",,,0.00
08/01/2018,7:30:00 AM,8,2018,Monday,Burglary,Tenderloin,37.78357,-122.41927,"(37.78356778488696, -122.41927343381671)",,,0.31
09/01/2018,1:00:00 AM,1,2018,Tuesday,Burglary,Bayview Hunters Point,37.7268,-122.38325,"(37.72679829697196, -122.38324826282769)",,,0.04
09/01/2018,1:30:00 AM,2,2018,Tuesday,Robbery,Nob Hill,37.79255,-122.41265,"(37.79255233583978, -122.41264965842102)",,,0.06
09/01/2018,1:17:00 AM,1,2018,Tuesday,Assault,Western Addition,37.78061,-122.42373,"(37.780611621569214, -122.42373098580642)",,,0.05
01/01/2018,4:31:00 AM,5,2018,Monday,Assault,Financial District/South Beach,37.78704,-122.39793,"(37.787035579181214, -122.39793239233553)",,,0.19
09/01/2018,4:12:00 AM,4,2018,Tuesday,Assault,Mission,37.76319,-122.4073,"(37.763187800944834, -122.40730484858473)",,,0.18
09/01/2018,3:30:00 AM,4,2018,Tuesday,Burglary,Outer Mission,37.72606,-122.43627,"(37.72605848478202, -122.43627317685932)",,,0.15
01/01/2018,4:11:00 AM,4,2018,Monday,Assault,Lone Mountain/USF,37.78088,-122.44879,"(37.78088166227314, -122.44879124957072)",,,0.17
01/01/2018,4:35:00 AM,5,2018,Monday,Assault,Mission,37.7635,-122.41848,"(37.76349643380175, -122.41848397609654)",,,0.19
01/01/2018,5:20:00 AM,5,2018,Monday,Assault,Financial District/South Beach,37.78554,-122.39671,"(37.78554213006711, -122.39670517825668)",,,0.22
09/01/2018,4:12:00 AM,4,2018,Tuesday,Assault,Mission,37.76319,-122.4073,"(37.763187800944834, -122.40730484858473)",,,0.18
09/01/2018,4:57:00 AM,5,2018,Tuesday,Assault,Golden Gate Park,37.7729,-122.45429,"(37.772895177200766, -122.45428511766733)",,,0.21
05/01/2018,3:00:00 PM,15,2018,Friday,Burglary,Mission,37.76303,-122.41024,"(37.76302933197032, -122.41024411579505)",,,0.63
08/01/2018,7:30:00 PM,20,2018,Monday,Burglary,West of Twin Peaks,37.73309,-122.43788,"(37.733092254976135, -122.43788432986501)",,,0.81
08/01/2018,4:30:00 PM,17,2018,Monday,Burglary,West of Twin Peaks,37.73306,-122.45116,"(37.733058401939495, -122.45116099013484)",,,0.69
09/01/2018,4:26:00 AM,4,2018,Tuesday,Burglary,Outer Mission,37.71173,-122.45154,"(37.71172830885809, -122.45153809125458)",,,0.18
06/01/2018,12:51:00 PM,13,2018,Saturday,Robbery,Financial District/South Beach,37.78777,-122.40504,"(37.787765494696465, -122.40504139998343)",,,0.54
09/01/2018,9:00:00 AM,9,2018,Tuesday,Assault,South of Market,37.77622,-122.41161,"(37.77622135530407, -122.41160611386445)",,,0.38
09/01/2018,10:00:00 AM,10,2018,Tuesday,Assault,South of Market,37.77499,-122.41316,"(37.77499175043618, -122.41316110973679)",,,0.42
